,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B
58,8,1,324,422,17467.856,6707.159999999999,6090.284000000001,324.0,422.0,112.0,-8822300284172790974,6585.354319999999,5620.782800000001
59,8,1,618,579,20969.088000000007,4192.280000000001,9441.188,618.0,579.0,259.0,-8822300284455897881,4003.4562400000004,9147.7284
60,8,1,207,421,5441.856,6039.4400000000005,10925.764,207.0,421.0,74.0,-8822300284240363816,5820.924720000001,10503.0032
61,8,1,116,366,257.712,15403.840000000002,17952.204,116.0,366.0,201.0,-8822300284090072495,15044.795920000002,16873.9352
62,8,1,293,365,20861.511999999995,4164.160000000001,9008.232000000002,293.0,365.0,211.0,-8822300284064441417,3983.995360000001,8716.740800000001
63,8,1,60,365,19650.512000000002,3885.0400000000004,8441.384,60.0,365.0,257.0,-8822300284453567783,3716.2123200000005,8169.4312
66,8,1,943,362,14805.952000000001,5748.72,5166.776,943.0,362.0,151.0,-8822300283994538477,5645.384480000001,4764.3656
68,8,1,471,346,18544.624,7000.519999999999,6192.42,471.0,346.0,190.0,-8822300283965412252,6876.671599999999,5702.3836
69,8,1,177,345,19939.584,4834.96,8640.419999999998,177.0,345.0,158.0,-8822300284002693820,4662.1516,8301.972799999998
70,8,1,412,343,281.904,15893.04,18149.676000000003,412.0,343.0,232.0,-8822300284051625878,15530.04648,17037.163200000003
71,8,1,441,342,17866.688,6785.4400000000005,6063.696000000002,441.0,342.0,183.0,-8822300283957256909,6664.166080000001,5588.7152000000015
72,8,1,237,342,20219.304,3993.4,8610.975999999999,237.0,342.0,225.0,-8822300284043470535,3821.18048,8331.437999999998
73,8,1,942,340,175.336,13768.720000000001,16232.755999999998,942.0,340.0,151.0,-8822300283994538477,13444.064880000002,15268.945599999997
74,8,1,208,340,17805.032,6705.320000000001,6078.928000000001,208.0,340.0,267.0,-8822300284465218273,6583.741440000001,5609.555600000001
75,8,1,148,338,261.79999999999995,16043.36,18684.02,148.0,338.0,103.0,-8822300284199587101,15669.679600000001,17560.9848
78,8,1,207,316,5443.9839999999995,5948.84,10878.844000000001,207.0,316.0,267.0,-8822300284465218273,5731.2631200000005,10462.425200000001
79,8,1,149,316,18082.287999999997,6762.92,6163.588,149.0,316.0,103.0,-8822300284199587101,6639.64824,5690.183599999999
80,8,1,854,315,200.144,15318.839999999998,17730.115999999998,854.0,315.0,247.0,-8822300284031820045,14964.237679999998,16657.797199999997
82,8,1,412,314,18712.512,7031.240000000001,6231.112000000001,412.0,314.0,224.0,-8822300284042305486,6906.617760000001,5738.925200000001
