,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B,PlaneX,PlaneY,Cluster,Label,Barcode
61,8,1,116,366,257.712,15403.840000000002,17952.203999999998,116.0,366.0,201.0,-8822300284090072495,15044.795920000002,16873.9352,0.459562415424617,0.04883781821811256,0,LB3,"[30, 20, 0]"
62,8,1,293,365,20861.511999999995,4164.160000000002,9008.232000000002,293.0,365.0,211.0,-8822300284064441417,3983.9953600000013,8716.740800000001,-0.5028720531336419,-0.4805627585824989,2,PAO1_OD04_2,"[15, 5, 30]"
63,8,1,60,365,19650.512,3885.04,8441.384,60.0,365.0,257.0,-8822300284453567783,3716.212320000001,8169.4312,-0.5052708365131755,-0.4819006270552538,2,PAO1_OD04_2,"[15, 5, 30]"
66,8,1,943,362,14805.952,5748.72,5166.776,943.0,362.0,151.0,-8822300283994538477,5645.3844800000015,4764.3656,-0.36328821981386594,-0.6221112079382561,7,PAO1_OD04_1,"[10, 10, 30]"
68,8,1,471,346,18544.624,7000.519999999999,6192.42,471.0,346.0,190.0,-8822300283965412252,6876.671599999999,5702.3836,-0.3748898812708492,-0.6335662269645806,7,PAO1_OD04_1,"[10, 10, 30]"
69,8,1,177,345,19939.584,4834.96,8640.419999999998,177.0,345.0,158.0,-8822300284002693820,4662.1516,8301.972799999998,-0.4643073119381279,-0.4953776821095339,2,PAO1_OD04_2,"[15, 5, 30]"
70,8,1,412,343,281.904,15893.04,18149.676000000003,412.0,343.0,232.0,-8822300284051625878,15530.04648,17037.163200000006,0.46418733328819595,0.03729819720359662,0,LB3,"[30, 20, 0]"
71,8,1,441,342,17866.688000000002,6785.440000000001,6063.696000000003,441.0,342.0,183.0,-8822300283957256909,6664.166080000001,5588.715200000002,-0.3719349973387135,-0.6288980663670365,7,PAO1_OD04_1,"[10, 10, 30]"
72,8,1,237,342,20219.304,3993.4,8610.975999999999,237.0,342.0,225.0,-8822300284043470535,3821.1804799999995,8331.437999999998,-0.5065538980618491,-0.4852676417257996,2,PAO1_OD04_2,"[15, 5, 30]"
73,8,1,942,340,175.33599999999998,13768.72,16232.755999999998,942.0,340.0,151.0,-8822300283994538477,13444.064880000002,15268.945599999995,0.45931077741629195,0.0571006970281947,0,LB3,"[30, 20, 0]"
74,8,1,208,340,17805.032,6705.3200000000015,6078.928000000001,208.0,340.0,267.0,-8822300284465218273,6583.741440000002,5609.5556000000015,-0.3740638535245561,-0.6260087958552507,7,PAO1_OD04_1,"[10, 10, 30]"
75,8,1,148,338,261.79999999999995,16043.36,18684.02,148.0,338.0,103.0,-8822300284199587101,15669.6796,17560.9848,0.4600401874279517,0.048652890409581095,0,LB3,"[30, 20, 0]"
78,8,1,207,316,5443.984,5948.84,10878.844,207.0,316.0,267.0,-8822300284465218273,5731.263120000001,10462.4252,0.013276803334084375,-0.03294355832078727,6,LB2,"[25, 10, 15]"
79,8,1,149,316,18082.288,6762.92,6163.588000000001,149.0,316.0,103.0,-8822300284199587101,6639.6482399999995,5690.1835999999985,-0.3762526196858496,-0.625795003443601,7,PAO1_OD04_1,"[10, 10, 30]"
80,8,1,854,315,200.144,15318.839999999998,17730.115999999998,854.0,315.0,247.0,-8822300284031820045,14964.237679999998,16657.797199999994,0.46395608973460717,0.04693002090245285,0,LB3,"[30, 20, 0]"
82,8,1,412,314,18712.512,7031.240000000002,6231.112000000001,412.0,314.0,224.0,-8822300284042305486,6906.617760000001,5738.9252000000015,-0.37648681511208104,-0.633974415357042,7,PAO1_OD04_1,"[10, 10, 30]"
83,8,1,60,314,253.176,14601.600000000002,16918.536,60.0,314.0,59.0,-8822300284111043377,14263.22928,15896.424,0.4606626088948999,0.04537620315738017,0,LB3,"[30, 20, 0]"
84,8,1,116,314,17030.384,6477.4000000000015,5829.911999999999,116.0,314.0,256.0,-8822300284452402734,6360.80176,5376.4940000000015,-0.3708878272079319,-0.626212885790272,7,PAO1_OD04_1,"[10, 10, 30]"
85,8,1,588,294,23800.28,4713.08,10239.643999999998,588.0,294.0,229.0,-8822300284048130731,4508.28712,9909.728399999998,-0.504784230105299,-0.4814144238947472,2,PAO1_OD04_2,"[15, 5, 30]"
86,8,1,356,292,18650.128,6994.56,6248.111999999999,356.0,292.0,187.0,-8822300283961917105,6869.5977600000015,5758.492799999999,-0.3766368668791602,-0.6317889531365947,7,PAO1_OD04_1,"[10, 10, 30]"
88,8,1,237,366,1410.4720000000002,1362.64,21284.476,237.0,366.0,225.0,-8822300284043470535,936.9504800000001,21189.091200000006,-0.02011859217715714,0.8005292957219313,4,LB4,"[45, 0, 5]"
89,8,1,414,367,266.728,15872.280000000002,18305.532,414.0,367.0,232.0,-8822300284051625878,15506.169360000002,17194.4724,0.4622583321308919,0.04312066902361206,0,LB3,"[30, 20, 0]"
90,8,1,591,367,17988.375999999997,6842.319999999999,6187.66,591.0,367.0,193.0,-8822300284080752103,6718.566799999999,5708.6976,-0.3705267767434546,-0.6246209170726518,7,PAO1_OD04_1,"[10, 10, 30]"
91,8,1,618,394,268.968,16171.839999999995,18973.836,618.0,394.0,156.0,-8822300284000363722,15792.363279999996,17841.807199999996,0.45787487459774545,0.052516551559093294,0,LB3,"[30, 20, 0]"
92,8,1,472,420,313.768,17950.52,21143.512,472.0,420.0,36.0,-8822300284121528818,17527.64976,19886.9756,0.4562580122547789,0.054217994932398095,0,LB3,"[30, 20, 0]"
93,8,1,910,418,194.936,14161.96,16838.363999999998,910.0,418.0,223.0,-8822300284078422005,13825.19272,15847.0268,0.45636273299855235,0.06116746131973139,0,LB3,"[30, 20, 0]"
96,8,1,175,418,17110.239999999998,6553.919999999999,5930.0080000000025,175.0,418.0,258.0,-8822300284454732832,6435.319839999999,5471.233600000001,-0.3678876572655506,-0.622891922133764,7,PAO1_OD04_1,"[10, 10, 30]"
97,8,1,116,417,5229.392,5758.76,10540.884000000002,116.0,417.0,189.0,-8822300283964247203,5547.94232,10137.770800000002,0.015230634422936151,-0.030579024888018225,6,LB2,"[25, 10, 15]"
